Year,Units,Category,Value
2016,total,teacher_class_1,2521
2017,total,teacher_class_1,2250
2018,total,teacher_class_1,2394
2019,total,teacher_class_1,2340
2020,total,teacher_class_1,831
2021,total,teacher_class_1,1144
2016,total,teacher_class_2,386
2017,total,teacher_class_2,404
2018,total,teacher_class_2,547
2019,total,teacher_class_2,227
2020,total,teacher_class_2,892
2021,total,teacher_class_2,1347
