Year,Units,Kategorija,Value
2012,procenat,vađenje rude i kamena,6
2013,procenat,vađenje rude i kamena,11
2014,procenat,vađenje rude i kamena,12
2015,procenat,vađenje rude i kamena,9
2012,procenat,prerađivačka industrija,42
2013,procenat,prerađivačka industrija,41
2014,procenat,prerađivačka industrija,40
2015,procenat,prerađivačka industrija,45
2012,procenat,"snadbijevanje električnom energijom, gasom, parom i klimatizacija",1
2013,procenat,"snadbijevanje električnom energijom, gasom, parom i klimatizacija",0
2014,procenat,"snadbijevanje električnom energijom, gasom, parom i klimatizacija",0
2015,procenat,"snadbijevanje električnom energijom, gasom, parom i klimatizacija",1
2012,procenat,"snadbijevanje vodom, upravljanjem otpadnim vodama, kontrolisanje procesa uklanjanja otpada i slične aktivnosti",14
2013,procenat,"snadbijevanje vodom, upravljanjem otpadnim vodama, kontrolisanje procesa uklanjanja otpada i slične aktivnosti",12
2014,procenat,"snadbijevanje vodom, upravljanjem otpadnim vodama, kontrolisanje procesa uklanjanja otpada i slične aktivnosti",13
2015,procenat,"snadbijevanje vodom, upravljanjem otpadnim vodama, kontrolisanje procesa uklanjanja otpada i slične aktivnosti",14
