Year,Units,Kategorija,Value
2006,miliona dolara (2020),hidro-energija,0.0
2006,miliona dolara (2020),više izvora,0.0
2006,miliona dolara (2020),geotermalno,0.0
2006,miliona dolara (2020),sve,0.0
2006,miliona dolara (2020),vjetar,0.0
2006,miliona dolara (2020),solarno,0.0
2007,miliona dolara (2020),energija mora,0.0
2007,miliona dolara (2020),hidro-energija,1.77
2007,miliona dolara (2020),solarno,0.0
2007,miliona dolara (2020),sve,1.77
2007,miliona dolara (2020),geotermalno,0.0
2007,miliona dolara (2020),bio-energija,0.0
2007,miliona dolara (2020),više izvora,0.0
2007,miliona dolara (2020),vjetar,0.0
2008,miliona dolara (2020),solarno,0.0
2008,miliona dolara (2020),više izvora,0.17
2008,miliona dolara (2020),sve,0.17
2008,miliona dolara (2020),vjetar,0.0
2008,miliona dolara (2020),geotermalno,0.0
2008,miliona dolara (2020),bio-energija,0.0
2008,miliona dolara (2020),energija mora,0.0
2008,miliona dolara (2020),hidro-energija,0.0
2009,miliona dolara (2020),bio-energija,0.0
2009,miliona dolara (2020),više izvora,0.16
2009,miliona dolara (2020),energija mora,0.0
2009,miliona dolara (2020),hidro-energija,0.0
2009,miliona dolara (2020),geotermalno,0.0
2009,miliona dolara (2020),solarno,0.0
2009,miliona dolara (2020),vjetar,0.0
2009,miliona dolara (2020),sve,0.16
2010,miliona dolara (2020),više izvora,0.16
2010,miliona dolara (2020),energija mora,0.0
2010,miliona dolara (2020),hidro-energija,0.07
2010,miliona dolara (2020),geotermalno,0.0
2010,miliona dolara (2020),bio-energija,0.0
2010,miliona dolara (2020),vjetar,0.0
2010,miliona dolara (2020),solarno,0.0
2010,miliona dolara (2020),sve,0.23
2011,miliona dolara (2020),sve,6.95
2011,miliona dolara (2020),geotermalno,0.0
2011,miliona dolara (2020),bio-energija,0.02
2011,miliona dolara (2020),vjetar,0.0
2011,miliona dolara (2020),solarno,0.0
2011,miliona dolara (2020),više izvora,6.93
2011,miliona dolara (2020),energija mora,0.0
2011,miliona dolara (2020),hidro-energija,0.0
2012,miliona dolara (2020),bio-energija,0.0
2012,miliona dolara (2020),geotermalno,0.0
2012,miliona dolara (2020),hidro-energija,0.0
2012,miliona dolara (2020),više izvora,0.0
2012,miliona dolara (2020),energija mora,0.0
2012,miliona dolara (2020),sve,0.0
2012,miliona dolara (2020),vjetar,0.0
2012,miliona dolara (2020),solarno,0.0
2013,miliona dolara (2020),solarno,0.0
2013,miliona dolara (2020),više izvora,0.0
2013,miliona dolara (2020),geotermalno,0.0
2022,miliona dolara (2020),energija mora,0.0
2022,miliona dolara (2020),hidro-energija,0.0
