Year,Value,Units
2010,7.5,na 1000 rođenih
2011,5.7,na 1000 rođenih
2012,5.6,na 1000 rođenih
2013,5.1,na 1000 rođenih
2014,5.7,na 1000 rođenih
2015,3.1,na 1000 rođenih
2016,3.8,na 1000 rođenih
2017,2.7,na 1000 rođenih
2018,2.9,na 1000 rođenih
2019,3.6,na 1000 rođenih
2020,3.7,na 1000 rođenih
2021,1.8,na 1000 rođenih
2022,4.42,na 1000 rođenih
2023,2.71,na 1000 rođenih
