Year,Value,Units
1885,446.0,miliona tona
1890,1337.0,miliona tona
1891,1560.0,miliona tona
1892,1727.0,miliona tona
1893,3064.0,miliona tona
1894,5849.0,miliona tona
1895,5849.0,miliona tona
1896,6518.0,miliona tona
1897,5069.0,miliona tona
1898,7688.0,miliona tona
1899,8969.0,miliona tona
1900,12144.0,miliona tona
1901,13258.0,miliona tona
1902,12423.0,miliona tona
1903,13481.0,miliona tona
1904,14373.0,miliona tona
1905,15598.0,miliona tona
1906,18662.0,miliona tona
1907,18996.0,miliona tona
1908,20445.0,miliona tona
1909,21002.0,miliona tona
1910,20779.0,miliona tona
1911,22506.0,miliona tona
1912,23063.0,miliona tona
1913,63340.0,miliona tona
1919,45402.0,miliona tona
1920,60276.0,miliona tona
1921,64175.004,miliona tona
1922,93255.0,miliona tona
1923,101722.0,miliona tona
1924,104285.0,miliona tona
1925,114479.0,miliona tona
1926,111471.0,miliona tona
1927,125955.0,miliona tona
1928,143057.0,miliona tona
1929,156037.0,miliona tona
1930,146846.0,miliona tona
1931,135704.0,miliona tona
1932,123727.0,miliona tona
1933,114479.0,miliona tona
1934,119159.0,miliona tona
1935,124730.0,miliona tona
1936,123003.0,miliona tona
1937,137041.0,miliona tona
1938,129798.99,miliona tona
1939,136205.0,miliona tona
1940,156650.0,miliona tona
1943,5738.0,miliona tona
1944,1393.0,miliona tona
1945,79161.0,miliona tona
1946,156427.0,miliona tona
1947,217650.0,miliona tona
1948,245337.0,miliona tona
1949,280266.0,miliona tona
1950,269235.0,miliona tona
1951,254863.0,miliona tona
1952,255921.0,miliona tona
1953,254139.0,miliona tona
1954,303161.0,miliona tona
1955,347171.0,miliona tona
1956,396918.0,miliona tona
1957,431011.0,miliona tona
1958,424771.0,miliona tona
1959,486941.0,miliona tona
1960,531897.0,miliona tona
1961,557523.0,miliona tona
1962,572118.0,miliona tona
1963,636461.0,miliona tona
1964,721081.0,miliona tona
1965,741915.0,miliona tona
1966,735175.0,miliona tona
1967,742584.0,miliona tona
1968,794225.0,miliona tona
1969,823472.0,miliona tona
1970,1076106.0,miliona tona
1971,1159779.0,miliona tona
1972,1087025.0,miliona tona
1973,1298547.0,miliona tona
1974,1304229.0,miliona tona
1975,1360884.0,miliona tona
1976,1404615.0,miliona tona
1977,1365953.0,miliona tona
1978,1526447.0,miliona tona
1979,1660313.0,miliona tona
1980,1632626.0,miliona tona
1981,1776798.0,miliona tona
1982,1632348.0,miliona tona
1983,1757746.0,miliona tona
1984,1853675.0,miliona tona
1985,1890887.0,miliona tona
1986,1974783.0,miliona tona
1987,1927989.0,miliona tona
1988,1989434.0,miliona tona
1989,1983362.0,miliona tona
1990,1962026.0,miliona tona
1991,1388069.0,miliona tona
1992,1483274.0,miliona tona
1993,1293620.0,miliona tona
1994,1256653.0,miliona tona
1995,1327336.0,miliona tona
1996,1552994.0,miliona tona
1997,1669797.0,miliona tona
1998,1757580.0,miliona tona
1999,1211858.0,miliona tona
2000,1520843.0,miliona tona
2001,1667268.0,miliona tona
2002,1766249.0,miliona tona
2003,1889193.0,miliona tona
2004,2041277.9,miliona tona
2005,1750836.0,miliona tona
2006,2062832.1,miliona tona
2007,2055504.1,miliona tona
2008,2605104.0,miliona tona
2009,1681776.0,miliona tona
2010,2421904.0,miliona tona
2011,2407248.0,miliona tona
2012,2213056.0,miliona tona
2013,2150768.0,miliona tona
2014,2106800.0,miliona tona
2015,2238704.0,miliona tona
2016,2015199.9,miliona tona
2017,2103136.0,miliona tona
2018,2399920.0,miliona tona
2019,2476864.0,miliona tona
2020,2407248.0,miliona tona
2021,2304752.0,miliona tona
2022,2292498.0,miliona tona
