Year,Value,Units
2002,71.89008,miliona dolara
2003,49.43149,miliona dolara
2004,65.37657,miliona dolara
2005,500.61185,miliona dolara
2006,622.00163,miliona dolara
2007,934.44223,miliona dolara
2008,960.42333,miliona dolara
2009,1527.25942,miliona dolara
2010,760.44077,miliona dolara
2011,558.0527,miliona dolara
2012,619.75295,miliona dolara
2013,447.4746,miliona dolara
2014,497.6552,miliona dolara
2015,699.36536,miliona dolara
2016,226.40964,miliona dolara
2017,558.56576,miliona dolara
2018,489.81482,miliona dolara
2019,416.44721,miliona dolara
2020,532.28453,miliona dolara
2021,698.91957,miliona dolara
2022,876.73479,miliona dolara
2023,526.2454,miliona dolara
