Year,Value,Units
2012,107.42,miliona dolara
2013,115.31,miliona dolara
2014,98.99,miliona dolara
2015,115.46,miliona dolara
2016,98.25,miliona dolara
2017,132.22,miliona dolara
2018,165.84,miliona dolara
2019,105.74,miliona dolara
2020,217.75,miliona dolara
2021,131.71,miliona dolara
