Year,Value,Units
2010,21.0,ukupno novoinficiranih
2011,23.0,ukupno novoinficiranih
2012,24.0,ukupno novoinficiranih
2013,25.0,ukupno novoinficiranih
2014,26.0,ukupno novoinficiranih
2015,27.0,ukupno novoinficiranih
2016,28.0,ukupno novoinficiranih
2017,29.0,ukupno novoinficiranih
2018,29.0,ukupno novoinficiranih
2019,30.0,ukupno novoinficiranih
2020,30.0,ukupno novoinficiranih
2021,30.0,ukupno novoinficiranih
2022,31.0,ukupno novoinficiranih
2023,33.0,ukupno novoinficiranih
2024,34.0,ukupno novoinficiranih
2010,0.03,ukupno novoinficiranih na 1000 neinficiranih
2011,0.04,ukupno novoinficiranih na 1000 neinficiranih
2012,0.04,ukupno novoinficiranih na 1000 neinficiranih
2013,0.04,ukupno novoinficiranih na 1000 neinficiranih
2014,0.04,ukupno novoinficiranih na 1000 neinficiranih
2015,0.04,ukupno novoinficiranih na 1000 neinficiranih
2016,0.05,ukupno novoinficiranih na 1000 neinficiranih
2017,0.05,ukupno novoinficiranih na 1000 neinficiranih
2018,0.05,ukupno novoinficiranih na 1000 neinficiranih
2019,0.05,ukupno novoinficiranih na 1000 neinficiranih
2020,0.05,ukupno novoinficiranih na 1000 neinficiranih
2021,0.05,ukupno novoinficiranih na 1000 neinficiranih
2022,0.05,ukupno novoinficiranih na 1000 neinficiranih
2023,0.05,ukupno novoinficiranih na 1000 neinficiranih
2024,0.05,ukupno novoinficiranih na 1000 neinficiranih
