Year,Value,Units
2002,0.05,Indeks
2003,0.09,Indeks
2004,0.11,Indeks
2005,0.11,Indeks
2006,0.08,Indeks
2007,0.1,Indeks
2008,0.12,Indeks
2009,0.1,Indeks
2010,0.09,Indeks
2011,0.08,Indeks
2012,0.09,Indeks
2013,0.07,Indeks
2014,0.06,Indeks
2015,0.08,Indeks
2016,0.16,Indeks
2017,0.18,Indeks
2018,0.14,Indeks
2019,0.19,Indeks
2020,0.16,Indeks
2021,0.23,Indeks
2022,0.24,Indeks
