Year,Value,Units
2003,8140000,dolara
2004,20129999,dolara
2005,3860000,dolara
2006,95589996,dolara
2007,105650002,dolara
2008,104470001,dolara
2009,76489998,dolara
2010,80070000,dolara
2011,126629997,dolara
2012,103089996,dolara
2013,117180000,dolara
2014,100419998,dolara
2015,99959999,dolara
2016,85730003,dolara
2017,117989998,dolara
2018,156220001,dolara
2019,95860001,dolara
2020,205009995,dolara
2021,131899994,dolara
