Year,Value,Units
2010,0.80221,miliona dolara (2021)
2011,0.18067,miliona dolara (2021)
2012,0.282,miliona dolara (2021)
2013,0.20924,miliona dolara (2021)
2014,-0.05129,miliona dolara (2021)
2015,-0.39947,miliona dolara (2021)
2016,0.76361,miliona dolara (2021)
2017,-0.43349,miliona dolara (2021)
2018,-0.294,miliona dolara (2021)
2019,-0.28496,miliona dolara (2021)
2020,1.62194,miliona dolara (2021)
2021,12.78767,miliona dolara (2021)
2022,4.80833,miliona dolara (2021)
