Year,Value,Units
2008,3.83,miliona dolara (2020)
2009,7.03,miliona dolara (2020)
2010,0.02,miliona dolara (2020)
2011,0.19,miliona dolara (2020)
2012,13.3,miliona dolara (2020)
2013,5.71,miliona dolara (2020)
2014,0.84,miliona dolara (2020)
2015,0.33,miliona dolara (2020)
2016,20.6,miliona dolara (2020)
2017,7.23,miliona dolara (2020)
2019,35.11,miliona dolara (2020)
2020,0.2,miliona dolara (2020)
2021,22.7,miliona dolara (2020)
