Year,Value,Units
2000,14.8,na 100 000 ljudi
2001,17.61,na 100 000 ljudi
2002,13.69,na 100 000 ljudi
2003,14.17,na 100 000 ljudi
2004,15.28,na 100 000 ljudi
2005,15.9,na 100 000 ljudi
2006,14.24,na 100 000 ljudi
2007,20.34,na 100 000 ljudi
2008,18.51,na 100 000 ljudi
2009,16.53,na 100 000 ljudi
2010,15.7,na 100 000 ljudi
2011,9.6,na 100 000 ljudi
2012,7.51,na 100 000 ljudi
2013,12.13,na 100 000 ljudi
2014,10.69,na 100 000 ljudi
2015,8.45,na 100 000 ljudi
2016,10.68,na 100 000 ljudi
2017,10.36,na 100 000 ljudi
2018,7.81,na 100 000 ljudi
2019,7.64,na 100 000 ljudi
2021,9.1,na 100 000 ljudi
