Year,Value,Units
2014,0.65,milion kW
2015,0.65,milion kW
2016,0.65,milion kW
2017,0.73,milion kW
2018,0.73,milion kW
2019,0.78,milion kW
2020,0.78,milion kW
2021,0.77,milion kW
