Year,Value,Units
2010,1.4,Indeks
2011,0.56,Indeks
2012,0.56,Indeks
2013,0.57,Indeks
2014,0.12,Indeks
2015,0.61,Indeks
2016,-0.14,Indeks
2017,-0.26,Indeks
2018,-0.58,Indeks
2019,1.25,Indeks
2020,0.75,Indeks
2021,0.43,Indeks
2022,3.35,Indeks
