Year,Units,Value
2006,thousands EUR,2166281
2007,thousands EUR,2687082
2008,thousands EUR,3100046
2009,thousands EUR,2981872
2010,thousands EUR,3120528
2011,thousands EUR,3237983
2012,thousands EUR,3169260
2013,thousands EUR,3329596
2014,thousands EUR,3447221
2015,thousands EUR,3614995
2016,thousands EUR,3936629
2017,thousands EUR,4252496
2018,thousands EUR,4600913
2019,thousands EUR,4988390
2020,thousands EUR,4144816
2021,thousands EUR,4923235
2022,thousands EUR,5944381
2023,thousands EUR,7068843
2024,thousands EUR,7644530
