Year,Units,Value
2008,Index,0.1
2009,Index,0.1
2010,Index,0.1
2011,Index,0.1
2012,Index,0.1
2013,Index,0.1
2014,Index,0.1
2015,Index,0.1
2016,Index,0.1
2017,Index,0.1
2018,Index,0.1
2019,Index,0.1
2020,Index,0.1
2021,Index,0.1
