Year,Value,Units
2008,0.1,index
2009,0.1,index
2010,0.1,index
2011,0.1,index
2012,0.1,index
2013,0.1,index
2014,0.1,index
2015,0.1,index
2016,0.1,index
2017,0.1,index
2018,0.1,index
2019,0.1,index
2020,0.1,index
2021,0.1,index
