Year,Value,Units
2010,6309,total
2011,6244,total
2012,6272,total
2013,5267,total
2014,3,total
2015,5,total
2016,6,total
2017,4,total
2018,5,total
2019,7,total
2020,3,total
2021,3,total
2022,2,total
2023,2,total
2024,4,total
