Year,Value,Units
2011,126665,usd
2012,277773,usd
2013,427015,usd
2014,694180,usd
2015,1450920,usd
2016,1125050,usd
2017,1199582,usd
2018,1749905,usd
2019,782817,usd
2020,905564,usd
