Year,Value,Units
2008,3.83,millions_constant_usd_2020
2009,7.03,millions_constant_usd_2020
2010,0.02,millions_constant_usd_2020
2011,0.19,millions_constant_usd_2020
2012,13.3,millions_constant_usd_2020
2013,5.71,millions_constant_usd_2020
2014,0.84,millions_constant_usd_2020
2015,0.33,millions_constant_usd_2020
2016,20.6,millions_constant_usd_2020
2017,7.23,millions_constant_usd_2020
2019,35.11,millions_constant_usd_2020
2020,0.2,millions_constant_usd_2020
2021,22.7,millions_constant_usd_2020
