Year,Value,Units
1995,23,total
2000,23,total
2005,143,total
2010,340,total
2012,356,total
2014,356,total
2016,356,total
2017,376,total
2018,388,total
2019,388,total
2020,388,total
2021,388,total
2022,388,total
