Year,Value,Units
2002,71.89008,million_usd
2003,49.43149,million_usd
2004,65.37657,million_usd
2005,500.61185,million_usd
2006,622.00163,million_usd
2007,934.44223,million_usd
2008,960.42333,million_usd
2009,1527.25942,million_usd
2010,760.44077,million_usd
2011,558.0527,million_usd
2012,619.75295,million_usd
2013,447.4746,million_usd
2014,497.6552,million_usd
2015,699.36536,million_usd
2016,226.40964,million_usd
2017,558.56576,million_usd
2018,489.81482,million_usd
2019,416.44721,million_usd
2020,532.28453,million_usd
2021,698.91957,million_usd
2022,876.73479,million_usd
2023,526.2454,million_usd
