Year,Units,Category,Value
2004,million_usd,total,0
2005,million_usd,total,1
2006,million_usd,total,1
2007,million_usd,total,3
2008,million_usd,total,10
2009,million_usd,total,8
2010,million_usd,total,12
2011,million_usd,total,19
2012,million_usd,total,42
2013,million_usd,total,20
2014,million_usd,total,29
2015,million_usd,total,16
2016,million_usd,total,14
2017,million_usd,total,11
2018,million_usd,total,27
2019,million_usd,total,9
2020,million_usd,total,15
2020,million_usd,6_a_1_cat_1,3
2020,million_usd,6_a_1_cat_2,0
2020,million_usd,6_a_1_cat_3,0
2020,million_usd,6_a_1_cat_4,10
2018,million_usd,government,15
