Year,Units,Value
2014,milion kW,0.65
2015,milion kW,0.65
2016,milion kW,0.65
2017,milion kW,0.73
2018,milion kW,0.73
2019,milion kW,0.78
2020,milion kW,0.78
2021,milion kW,0.77
