Year,Units,Value
2012,millions_usd,199.49
2013,millions_usd,116.5
2014,millions_usd,107.78
2015,millions_usd,134.4
2016,millions_usd,144.71
2017,millions_usd,146.25
2018,millions_usd,183.48
2019,millions_usd,149.17
2020,millions_usd,312.55
2021,millions_usd,149.03
