Year,Units,Category,Value
2011,kg_per_usd,12_2_2_cat_1,1.8
2012,kg_per_usd,12_2_2_cat_1,1.8
2013,kg_per_usd,12_2_2_cat_1,1.7
2014,kg_per_usd,12_2_2_cat_1,1.7
2015,kg_per_usd,12_2_2_cat_1,1.6
2016,kg_per_usd,12_2_2_cat_1,1.5
2017,kg_per_usd,12_2_2_cat_1,2.2
2018,kg_per_usd,12_2_2_cat_1,2.4
2019,kg_per_usd,12_2_2_cat_1,2.3
2020,kg_per_usd,12_2_2_cat_1,2.7
2021,kg_per_usd,12_2_2_cat_1,2.5
2022,kg_per_usd,12_2_2_cat_1,2.4
2023,kg_per_usd,12_2_2_cat_1,2.3
2024,kg_per_usd,12_2_2_cat_1,2.3
2011,tonnes,12_2_2_cat_2,12.8701
2012,tonnes,12_2_2_cat_2,12.5426
2013,tonnes,12_2_2_cat_2,12.066
2014,tonnes,12_2_2_cat_2,12.7135
2015,tonnes,12_2_2_cat_2,12.3694
2016,tonnes,12_2_2_cat_2,11.7088
2017,tonnes,12_2_2_cat_2,17.7078
2018,tonnes,12_2_2_cat_2,20.9139
2019,tonnes,12_2_2_cat_2,20.7276
2020,tonnes,12_2_2_cat_2,20.6967
2021,tonnes,12_2_2_cat_2,21.7671
2022,tonnes,12_2_2_cat_2,22.1741
2023,tonnes,12_2_2_cat_2,22.217
2024,tonnes,12_2_2_cat_2,22.7535
